corruption,n_refreshes,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc,n
brightness/s5,1,0.6515827178955078,0.4387477934360504,0.6515827178955078,0.4387477934360504,0.31300175292891735,-0.12312281250197453,0.8512575030326843,0.14874249696731567,0.71875,0.7109375,0.7265625,128
brightness/s5,2,0.7346668243408203,0.3820459246635437,0.7346668243408203,0.3820459246635437,0.6657162731134035,-0.30199806621612796,0.9795849323272705,0.020415067672729492,0.6640625,0.6953125,0.6640625,128
brightness/s5,3,0.7260286808013916,0.3515365719795227,0.7260286808013916,0.3515365719795227,0.8201411829711408,-0.45714496117875814,0.9939950108528137,0.006004989147186279,0.6796875,0.6875,0.6796875,128
brightness/s5,4,0.7862005233764648,0.4259481728076935,0.7862005233764648,0.4259481728076935,1.0611572555234725,-0.3777734829528808,0.9968453049659729,0.0031546950340270996,0.7421875,0.734375,0.7421875,128
brightness/s5,5,0.8010144233703613,0.44573646783828735,0.8010144233703613,0.44573646783828735,1.226901933142293,-0.2978429241612317,0.9977598190307617,0.0022401809692382812,0.7578125,0.734375,0.7578125,128
brightness/s5,6,0.770684003829956,0.4622206687927246,0.770684003829956,0.4622206687927246,1.2195397110103725,-0.22462441000580813,0.9969105124473572,0.0030894875526428223,0.671875,0.71875,0.671875,128
brightness/s5,7,0.8249709010124207,0.4855666160583496,0.8249709010124207,0.4855666160583496,1.3849677925966697,-0.14118699502989293,0.9977723956108093,0.002227604389190674,0.78125,0.7578125,0.78125,128
brightness/s5,8,0.8062328100204468,0.41677743196487427,0.8062328100204468,0.41677743196487427,1.405341476400761,-0.2386017644326206,0.9986082911491394,0.0013917088508605957,0.734375,0.7109375,0.734375,128
brightness/s5,9,0.7876549959182739,0.4409012198448181,0.7876549959182739,0.4409012198448181,1.3580946591379777,-0.2380535357932979,0.9983154535293579,0.0016845464706420898,0.671875,0.7109375,0.671875,128
brightness/s5,10,0.8041823506355286,0.4770984649658203,0.8041823506355286,0.4770984649658203,1.3853684205412313,-0.16486190875488882,0.9979766011238098,0.0020233988761901855,0.734375,0.71875,0.734375,128
brightness/s5,11,0.8400067687034607,0.5687420964241028,0.8400067687034607,0.5687420964241028,1.5218234301920472,0.05592943485319429,0.9971669316291809,0.002833068370819092,0.78125,0.765625,0.78125,128
brightness/s5,12,0.8082106113433838,0.5586127042770386,0.8082106113433838,0.5586127042770386,1.4801241382379546,0.14573155977120106,0.9952154159545898,0.004784584045410156,0.7109375,0.765625,0.7109375,128
brightness/s5,13,0.803895115852356,0.4971398115158081,0.803895115852356,0.4971398115158081,1.4454716533409115,0.06714534052057439,0.9959834814071655,0.004016518592834473,0.640625,0.6796875,0.640625,128
brightness/s5,14,0.8546525835990906,0.590025007724762,0.8546525835990906,0.590025007724762,1.6085199264510295,0.21560704955438748,0.9962102174758911,0.0037897825241088867,0.765625,0.7578125,0.765625,128
brightness/s5,15,0.8229138851165771,0.5473574995994568,0.8229138851165771,0.5473574995994568,1.5723676736455037,0.20280328554377686,0.9958407282829285,0.004159271717071533,0.7578125,0.7421875,0.7578125,128
brightness/s5,16,0.8242304921150208,0.5708264112472534,0.8242304921150208,0.5708264112472534,1.558822182713099,0.24401348389200891,0.9948275685310364,0.005172431468963623,0.703125,0.703125,0.703125,128
brightness/s5,17,0.8366161584854126,0.6175461411476135,0.8366161584854126,0.6175461411476135,1.596042633804006,0.36157962828496765,0.9928810596466064,0.007118940353393555,0.734375,0.78125,0.734375,128
brightness/s5,18,0.8030916452407837,0.5569471120834351,0.8030916452407837,0.5569471120834351,1.5008865267892348,0.29518038179622785,0.9920201897621155,0.007979810237884521,0.6484375,0.6640625,0.6484375,128
brightness/s5,19,0.8190023899078369,0.5622847080230713,0.8190023899078369,0.5622847080230713,1.5052448507252407,0.2728100103064555,0.9928234815597534,0.007176518440246582,0.6796875,0.71875,0.6796875,128
brightness/s5,20,0.841865599155426,0.5811785459518433,0.841865599155426,0.5811785459518433,1.5887099607875774,0.3002116614200586,0.9942569136619568,0.005743086338043213,0.734375,0.7421875,0.734375,128
brightness/s5,21,0.8563200235366821,0.5976248979568481,0.8563200235366821,0.5976248979568481,1.6868828427962574,0.34789510719872896,0.9953022003173828,0.0046977996826171875,0.71875,0.7421875,0.71875,128
brightness/s5,22,0.8728165030479431,0.5995009541511536,0.8728165030479431,0.5995009541511536,1.8064886418785635,0.3756406445687886,0.9967420697212219,0.003257930278778076,0.796875,0.75,0.796875,128
brightness/s5,23,0.8182946443557739,0.6155942678451538,0.8182946443557739,0.6155942678451538,1.6556623321892978,0.42326507302965427,0.9928224682807922,0.007177531719207764,0.7265625,0.6875,0.7265625,128
brightness/s5,24,0.8547384142875671,0.6283034086227417,0.8547384142875671,0.6283034086227417,1.713960824810309,0.4741051753370391,0.9930318593978882,0.006968140602111816,0.75,0.734375,0.7578125,128
brightness/s5,25,0.8449934124946594,0.5285179615020752,0.8449934124946594,0.5285179615020752,1.7049110201110929,0.2941504794593922,0.9964704513549805,0.0035295486450195312,0.765625,0.65625,0.765625,128
brightness/s5,26,0.8676045536994934,0.6811920404434204,0.8676045536994934,0.6811920404434204,1.792426899127798,0.526702914861723,0.9937126040458679,0.00628739595413208,0.703125,0.7109375,0.703125,128
brightness/s5,27,0.8510573506355286,0.6145130395889282,0.8510573506355286,0.6145130395889282,1.7676725446123371,0.49651284809015106,0.9938469529151917,0.00615304708480835,0.6875,0.7109375,0.6875,128
brightness/s5,28,0.8447055816650391,0.645423173904419,0.8447055816650391,0.645423173904419,1.7306689494302874,0.547746997032848,0.9912653565406799,0.008734643459320068,0.65625,0.6953125,0.6640625,128
brightness/s5,29,0.8563497066497803,0.5837252736091614,0.8563497066497803,0.5837252736091614,1.7579829752044094,0.44291600250236196,0.9948328733444214,0.005167126655578613,0.7578125,0.7265625,0.7578125,128
brightness/s5,30,0.8534404635429382,0.6571572422981262,0.8534404635429382,0.6571572422981262,1.7599135106219235,0.5467837082203322,0.9922518134117126,0.0077481865882873535,0.7265625,0.7265625,0.7265625,128
brightness/s5,31,0.8650102615356445,0.6774882078170776,0.8650102615356445,0.6774882078170776,1.8087280581780758,0.6445180774555151,0.990592896938324,0.009407103061676025,0.7734375,0.7734375,0.78125,128
brightness/s5,32,0.8715764284133911,0.7113603949546814,0.8715764284133911,0.7113603949546814,1.861848831549552,0.773259197449128,0.987312376499176,0.012687623500823975,0.71875,0.75,0.71875,128
brightness/s5,33,0.8612430095672607,0.6493870615959167,0.8612430095672607,0.6493870615959167,1.843750702188531,0.6948026289398023,0.990006685256958,0.009993314743041992,0.7578125,0.78125,0.7578125,128
brightness/s5,34,0.8337472677230835,0.6359312534332275,0.8337472677230835,0.6359312534332275,1.7280859540849787,0.6262751901764299,0.9879580140113831,0.012041985988616943,0.6796875,0.6875,0.6796875,128
brightness/s5,35,0.8424268960952759,0.6327635645866394,0.8424268960952759,0.6327635645866394,1.7022416699884109,0.585183074039779,0.9886624217033386,0.011337578296661377,0.703125,0.765625,0.703125,128
brightness/s5,36,0.8628655672073364,0.6661785840988159,0.8628655672073364,0.6661785840988159,1.7707694345838667,0.6380673429381033,0.9893428087234497,0.010657191276550293,0.7109375,0.7734375,0.7109375,128
brightness/s5,37,0.8479777574539185,0.6293442249298096,0.8479777574539185,0.6293442249298096,1.7447984989667495,0.5837359527403089,0.9904748797416687,0.009525120258331299,0.7578125,0.7421875,0.7578125,128
brightness/s5,38,0.8717570304870605,0.7070802450180054,0.8717570304870605,0.7070802450180054,1.8306912926757901,0.7324907076018178,0.9877849817276001,0.012215018272399902,0.71875,0.7265625,0.71875,128
brightness/s5,39,0.8478779792785645,0.6647055149078369,0.8478779792785645,0.6647055149078369,1.7743725295246833,0.7084128048988143,0.9861268997192383,0.013873100280761719,0.734375,0.7421875,0.734375,128
brightness/s5,40,0.8679566383361816,0.6786556243896484,0.8679566383361816,0.6786556243896484,1.8286919605036212,0.7280066269692038,0.9879043698310852,0.012095630168914795,0.71875,0.703125,0.71875,128
brightness/s5,41,0.8615522980690002,0.6664140224456787,0.8615522980690002,0.6664140224456787,1.8284675347619839,0.7100085618973625,0.9887251257896423,0.011274874210357666,0.5703125,0.625,0.5703125,128
brightness/s5,42,0.8752608299255371,0.7413148880004883,0.8752608299255371,0.7413148880004883,1.8883822751049353,0.8814112543733448,0.9824997186660767,0.01750028133392334,0.7421875,0.703125,0.7421875,128
brightness/s5,43,0.8386802673339844,0.6868247985839844,0.8386802673339844,0.6868247985839844,1.768411754149779,0.8333638536521197,0.9768013954162598,0.023198604583740234,0.609375,0.7109375,0.609375,128
brightness/s5,44,0.8684287071228027,0.7247430086135864,0.8684287071228027,0.7247430086135864,1.827774196615708,0.9007378996884132,0.9760639667510986,0.023936033248901367,0.7265625,0.734375,0.7265625,128
brightness/s5,45,0.8538711667060852,0.723433256149292,0.8538711667060852,0.723433256149292,1.7965329339699005,0.9311470050372572,0.9695735573768616,0.030426442623138428,0.71875,0.75,0.71875,128
brightness/s5,46,0.8499526381492615,0.6801038980484009,0.8499526381492615,0.6801038980484009,1.7653812860733928,0.8426981605557813,0.9756538271903992,0.02434617280960083,0.65625,0.671875,0.65625,128
brightness/s5,47,0.8722455501556396,0.7058237195014954,0.8722455501556396,0.7058237195014954,1.8431711018194954,0.858942248296758,0.9808650612831116,0.019134938716888428,0.71875,0.765625,0.71875,128
