corruption,batch_in_corruption,r_l,r_s,a_l,a_s,x_l,x_s,w_l,w_s,acc_l,acc_s,duo_acc
brightness/s5,1,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.71875,0.7109375,0.7578125
brightness/s5,2,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.6640625,0.6953125,0.734375
brightness/s5,3,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.5,0.6640625,0.6640625,0.7265625
brightness/s5,4,0.69140625,0.701171875,0.69140625,0.701171875,0.8067018801068077,0.8528844670958434,0.4425269365310669,0.5574730634689331,0.71875,0.734375,0.7890625
brightness/s5,5,0.69140625,0.701171875,0.69140625,0.701171875,0.8067018801068077,0.8528844670958434,0.4425269365310669,0.5574730634689331,0.71875,0.734375,0.78125
brightness/s5,6,0.69140625,0.701171875,0.69140625,0.701171875,0.8067018801068077,0.8528844670958434,0.4425269365310669,0.5574730634689331,0.640625,0.71875,0.703125
brightness/s5,7,0.69140625,0.701171875,0.69140625,0.701171875,0.8067018801068077,0.8528844670958434,0.4425269365310669,0.5574730634689331,0.7578125,0.7578125,0.8046875
brightness/s5,8,0.689453125,0.728515625,0.689453125,0.728515625,0.7975638547130653,0.9871044865131239,0.2793469727039337,0.7206530272960663,0.640625,0.703125,0.75
brightness/s5,9,0.689453125,0.728515625,0.689453125,0.728515625,0.7975638547130653,0.9871044865131239,0.2793469727039337,0.7206530272960663,0.6640625,0.71875,0.78125
brightness/s5,10,0.689453125,0.728515625,0.689453125,0.728515625,0.7975638547130653,0.9871044865131239,0.2793469727039337,0.7206530272960663,0.671875,0.71875,0.7265625
brightness/s5,11,0.689453125,0.728515625,0.689453125,0.728515625,0.7975638547130653,0.9871044865131239,0.2793469727039337,0.7206530272960663,0.7421875,0.765625,0.765625
brightness/s5,12,0.6953125,0.740234375,0.6953125,0.740234375,0.8250747236024933,1.0471870768606726,0.24776619672775269,0.7522338032722473,0.703125,0.7578125,0.75
brightness/s5,13,0.6953125,0.740234375,0.6953125,0.740234375,0.8250747236024933,1.0471870768606726,0.24776619672775269,0.7522338032722473,0.6484375,0.6796875,0.734375
brightness/s5,14,0.6953125,0.740234375,0.6953125,0.740234375,0.8250747236024933,1.0471870768606726,0.24776619672775269,0.7522338032722473,0.7421875,0.7578125,0.765625
brightness/s5,15,0.6953125,0.740234375,0.6953125,0.740234375,0.8250747236024933,1.0471870768606726,0.24776619672775269,0.7522338032722473,0.7265625,0.7421875,0.8046875
brightness/s5,16,0.70703125,0.720703125,0.70703125,0.720703125,0.8810089177295154,0.9479520137806199,0.4170937240123749,0.5829062759876251,0.7109375,0.703125,0.7421875
brightness/s5,17,0.70703125,0.720703125,0.70703125,0.720703125,0.8810089177295154,0.9479520137806199,0.4170937240123749,0.5829062759876251,0.703125,0.7734375,0.7734375
brightness/s5,18,0.70703125,0.720703125,0.70703125,0.720703125,0.8810089177295154,0.9479520137806199,0.4170937240123749,0.5829062759876251,0.6328125,0.6640625,0.7109375
brightness/s5,19,0.70703125,0.720703125,0.70703125,0.720703125,0.8810089177295154,0.9479520137806199,0.4170937240123749,0.5829062759876251,0.6640625,0.7109375,0.734375
brightness/s5,20,0.66796875,0.720703125,0.66796875,0.720703125,0.6990123000123434,0.9479520137806199,0.22361919283866882,0.7763808071613312,0.671875,0.734375,0.765625
brightness/s5,21,0.66796875,0.720703125,0.66796875,0.720703125,0.6990123000123434,0.9479520137806199,0.22361919283866882,0.7763808071613312,0.6640625,0.71875,0.7421875
brightness/s5,22,0.66796875,0.720703125,0.66796875,0.720703125,0.6990123000123434,0.9479520137806199,0.22361919283866882,0.7763808071613312,0.75,0.765625,0.8046875
brightness/s5,23,0.66796875,0.720703125,0.66796875,0.720703125,0.6990123000123434,0.9479520137806199,0.22361919283866882,0.7763808071613312,0.671875,0.6875,0.7265625
brightness/s5,24,0.69140625,0.72265625,0.69140625,0.72265625,0.8067018801068077,0.9576759480370094,0.3197610080242157,0.6802389919757843,0.6796875,0.71875,0.7734375
brightness/s5,25,0.69140625,0.72265625,0.69140625,0.72265625,0.8067018801068077,0.9576759480370094,0.3197610080242157,0.6802389919757843,0.7109375,0.6640625,0.734375
brightness/s5,26,0.69140625,0.72265625,0.69140625,0.72265625,0.8067018801068077,0.9576759480370094,0.3197610080242157,0.6802389919757843,0.71875,0.703125,0.7421875
brightness/s5,27,0.69140625,0.72265625,0.69140625,0.72265625,0.8067018801068077,0.9576759480370094,0.3197610080242157,0.6802389919757843,0.6953125,0.7109375,0.734375
brightness/s5,28,0.703125,0.69140625,0.703125,0.69140625,0.8622235106038793,0.8067018801068077,0.5689597129821777,0.43104028701782227,0.6875,0.6875,0.75
brightness/s5,29,0.703125,0.69140625,0.703125,0.69140625,0.8622235106038793,0.8067018801068077,0.5689597129821777,0.43104028701782227,0.7421875,0.71875,0.765625
brightness/s5,30,0.703125,0.69140625,0.703125,0.69140625,0.8622235106038793,0.8067018801068077,0.5689597129821777,0.43104028701782227,0.671875,0.703125,0.703125
brightness/s5,31,0.703125,0.69140625,0.703125,0.69140625,0.8622235106038793,0.8067018801068077,0.5689597129821777,0.43104028701782227,0.75,0.75,0.7890625
brightness/s5,32,0.708984375,0.73046875,0.708984375,0.73046875,0.8904565283193916,0.9970021122573273,0.3698808550834656,0.6301191449165344,0.671875,0.75,0.765625
brightness/s5,33,0.708984375,0.73046875,0.708984375,0.73046875,0.8904565283193916,0.9970021122573273,0.3698808550834656,0.6301191449165344,0.7578125,0.7890625,0.8046875
brightness/s5,34,0.708984375,0.73046875,0.708984375,0.73046875,0.8904565283193916,0.9970021122573273,0.3698808550834656,0.6301191449165344,0.671875,0.65625,0.7421875
brightness/s5,35,0.708984375,0.73046875,0.708984375,0.73046875,0.8904565283193916,0.9970021122573273,0.3698808550834656,0.6301191449165344,0.671875,0.7265625,0.7890625
brightness/s5,36,0.697265625,0.732421875,0.697265625,0.732421875,0.8343106648603924,1.0069451001422858,0.29667702317237854,0.7033229768276215,0.6875,0.7578125,0.7578125
brightness/s5,37,0.697265625,0.732421875,0.697265625,0.732421875,0.8343106648603924,1.0069451001422858,0.29667702317237854,0.7033229768276215,0.7109375,0.71875,0.7421875
brightness/s5,38,0.697265625,0.732421875,0.697265625,0.732421875,0.8343106648603924,1.0069451001422858,0.29667702317237854,0.7033229768276215,0.6484375,0.7109375,0.765625
brightness/s5,39,0.697265625,0.732421875,0.697265625,0.732421875,0.8343106648603924,1.0069451001422858,0.29667702317237854,0.7033229768276215,0.6875,0.6875,0.765625
brightness/s5,40,0.681640625,0.703125,0.681640625,0.703125,0.7613217213956649,0.8622235106038793,0.37648165225982666,0.6235183477401733,0.6796875,0.6953125,0.71875
brightness/s5,41,0.681640625,0.703125,0.681640625,0.703125,0.7613217213956649,0.8622235106038793,0.37648165225982666,0.6235183477401733,0.625,0.6484375,0.65625
brightness/s5,42,0.681640625,0.703125,0.681640625,0.703125,0.7613217213956649,0.8622235106038793,0.37648165225982666,0.6235183477401733,0.7109375,0.6875,0.765625
brightness/s5,43,0.681640625,0.703125,0.681640625,0.703125,0.7613217213956649,0.8622235106038793,0.37648165225982666,0.6235183477401733,0.6171875,0.6796875,0.6953125
brightness/s5,44,0.66796875,0.68359375,0.66796875,0.68359375,0.6990123000123434,0.7703368192510752,0.4117773473262787,0.5882226526737213,0.71875,0.71875,0.75
brightness/s5,45,0.66796875,0.68359375,0.66796875,0.68359375,0.6990123000123434,0.7703368192510752,0.4117773473262787,0.5882226526737213,0.7421875,0.75,0.7734375
brightness/s5,46,0.66796875,0.68359375,0.66796875,0.68359375,0.6990123000123434,0.7703368192510752,0.4117773473262787,0.5882226526737213,0.640625,0.671875,0.7265625
brightness/s5,47,0.66796875,0.68359375,0.66796875,0.68359375,0.6990123000123434,0.7703368192510752,0.4117773473262787,0.5882226526737213,0.65625,0.7578125,0.7578125
brightness/s5,48,0.68359375,0.7265625,0.68359375,0.7265625,0.7703368192510752,0.9772514316638422,0.26219847798347473,0.7378015220165253,0.6953125,0.7265625,0.78125
brightness/s5,49,0.68359375,0.7265625,0.68359375,0.7265625,0.7703368192510752,0.9772514316638422,0.26219847798347473,0.7378015220165253,0.71875,0.78125,0.8046875
brightness/s5,50,0.68359375,0.7265625,0.68359375,0.7265625,0.7703368192510752,0.9772514316638422,0.26219847798347473,0.7378015220165253,0.71875,0.6875,0.734375
brightness/s5,51,0.68359375,0.7265625,0.68359375,0.7265625,0.7703368192510752,0.9772514316638422,0.26219847798347473,0.7378015220165253,0.5625,0.671875,0.6640625
brightness/s5,52,0.68359375,0.720703125,0.68359375,0.720703125,0.7703368192510752,0.9479520137806199,0.2915070354938507,0.7084929645061493,0.734375,0.7421875,0.7890625
brightness/s5,53,0.68359375,0.720703125,0.68359375,0.720703125,0.7703368192510752,0.9479520137806199,0.2915070354938507,0.7084929645061493,0.6640625,0.6796875,0.7265625
brightness/s5,54,0.68359375,0.720703125,0.68359375,0.720703125,0.7703368192510752,0.9479520137806199,0.2915070354938507,0.7084929645061493,0.6796875,0.71875,0.7421875
brightness/s5,55,0.68359375,0.720703125,0.68359375,0.720703125,0.7703368192510752,0.9479520137806199,0.2915070354938507,0.7084929645061493,0.6796875,0.7421875,0.75
brightness/s5,56,0.673828125,0.705078125,0.673828125,0.705078125,0.7255506046146047,0.8715981215179566,0.32514259219169617,0.6748574078083038,0.671875,0.6796875,0.703125
brightness/s5,57,0.673828125,0.705078125,0.673828125,0.705078125,0.7255506046146047,0.8715981215179566,0.32514259219169617,0.6748574078083038,0.6171875,0.5703125,0.625
brightness/s5,58,0.673828125,0.705078125,0.673828125,0.705078125,0.7255506046146047,0.8715981215179566,0.32514259219169617,0.6748574078083038,0.6875,0.7265625,0.75
brightness/s5,59,0.673828125,0.705078125,0.673828125,0.705078125,0.7255506046146047,0.8715981215179566,0.32514259219169617,0.6748574078083038,0.796875,0.796875,0.8359375
brightness/s5,60,0.705078125,0.705078125,0.705078125,0.705078125,0.8715981215179566,0.8715981215179566,0.5,0.5,0.71875,0.7265625,0.7578125
brightness/s5,61,0.705078125,0.705078125,0.705078125,0.705078125,0.8715981215179566,0.8715981215179566,0.5,0.5,0.6796875,0.6796875,0.75
brightness/s5,62,0.705078125,0.705078125,0.705078125,0.705078125,0.8715981215179566,0.8715981215179566,0.5,0.5,0.6953125,0.7265625,0.75
brightness/s5,63,0.705078125,0.705078125,0.705078125,0.705078125,0.8715981215179566,0.8715981215179566,0.5,0.5,0.671875,0.7109375,0.734375
brightness/s5,64,0.681640625,0.705078125,0.681640625,0.705078125,0.7613217213956649,0.8715981215179566,0.36554384231567383,0.6344561576843262,0.6796875,0.703125,0.703125
brightness/s5,65,0.681640625,0.705078125,0.681640625,0.705078125,0.7613217213956649,0.8715981215179566,0.36554384231567383,0.6344561576843262,0.671875,0.71875,0.734375
brightness/s5,66,0.681640625,0.705078125,0.681640625,0.705078125,0.7613217213956649,0.8715981215179566,0.36554384231567383,0.6344561576843262,0.7265625,0.6484375,0.734375
brightness/s5,67,0.681640625,0.705078125,0.681640625,0.705078125,0.7613217213956649,0.8715981215179566,0.36554384231567383,0.6344561576843262,0.734375,0.734375,0.78125
brightness/s5,68,0.712890625,0.716796875,0.712890625,0.716796875,0.9094647668037551,0.9286281056339959,0.47606414556503296,0.523935854434967,0.71875,0.765625,0.765625
brightness/s5,69,0.712890625,0.716796875,0.712890625,0.716796875,0.9094647668037551,0.9286281056339959,0.47606414556503296,0.523935854434967,0.640625,0.65625,0.71875
brightness/s5,70,0.712890625,0.716796875,0.712890625,0.716796875,0.9094647668037551,0.9286281056339959,0.47606414556503296,0.523935854434967,0.6484375,0.703125,0.6875
brightness/s5,71,0.712890625,0.716796875,0.712890625,0.716796875,0.9094647668037551,0.9286281056339959,0.47606414556503296,0.523935854434967,0.6640625,0.6640625,0.703125
brightness/s5,72,0.66015625,0.6875,0.66015625,0.6875,0.6639905962684898,0.7884573603642703,0.349250853061676,0.650749146938324,0.6875,0.7265625,0.75
brightness/s5,73,0.66015625,0.6875,0.66015625,0.6875,0.6639905962684898,0.7884573603642703,0.349250853061676,0.650749146938324,0.7109375,0.6875,0.7578125
brightness/s5,74,0.66015625,0.6875,0.66015625,0.6875,0.6639905962684898,0.7884573603642703,0.349250853061676,0.650749146938324,0.703125,0.7265625,0.7578125
brightness/s5,75,0.66015625,0.6875,0.66015625,0.6875,0.6639905962684898,0.7884573603642703,0.349250853061676,0.650749146938324,0.625,0.65625,0.6953125
brightness/s5,76,0.681640625,0.68359375,0.681640625,0.68359375,0.7613217213956649,0.7703368192510752,0.4887330234050751,0.5112669765949249,0.6875,0.6640625,0.71875
