"mode","corruption","severity","duo/ece","duo/nll","duo/accuracy","duo/acc3","duo/acc5","duo/f1","duo/brier","large/ece","large/nll","large/accuracy","large/acc3","large/acc5","large/f1","large/brier","small/ece","small/nll","small/accuracy","small/acc3","small/acc5","small/f1","small/brier"
"no_adapt","brightness","5","0.10378172088116408","1.1699547205940264","0.7429","0.88394","0.9192","0.7414860897345085","0.37606996297836304","0.04630965352319181","1.4334050753033396","0.68546","0.8397","0.88072","0.6852394263249253","0.43164241313934326","0.29013159658730026","1.634648345704117","0.7105","0.86114","0.9012","0.7072978429390187","0.5059425234794617"
"no_adapt","contrast","5","0.26076152871906755","4.503569664756537","0.32384","0.45164","0.50568","0.3629521321698236","0.9395813941955566","0.12299903611481189","5.179553651871094","0.18384","0.28186","0.32588","0.23857205268553283","0.9625310897827148","0.16293224442303184","4.866419422807157","0.2255","0.34764","0.40282","0.22478751137822917","0.9475616216659546"
"no_adapt","defocus_blur","5","0.02890029273584485","3.440075243422869","0.34166","0.49842","0.56386","0.341798708895357","0.7932900190353394","0.059909583490490914","3.7208663260412234","0.31048","0.45836","0.5206","0.31288047317076223","0.819546639919281","0.09723464470416307","5.299127948465855","0.14258","0.24276","0.29756","0.13446956016643546","0.9716025590896606"
"no_adapt","elastic_transform","5","0.03189453908741474","2.561102247416133","0.49128","0.65382","0.71328","0.49651178346982394","0.6610110402107239","0.10602246275559069","3.309532660249478","0.3939","0.54458","0.604","0.40403709426078355","0.7616146206855774","0.30622416802167896","3.2725586759828382","0.47336","0.63934","0.70032","0.46176163928695346","0.7971699237823486"
"no_adapt","fog","5","0.3621497928982973","2.272663915362384","0.63612","0.789","0.83342","0.6414621362806032","0.6587989330291748","0.2642623067930341","2.9217188472233238","0.48726","0.66332","0.72032","0.538899750393042","0.7719883322715759","0.4267917798575759","2.915692260051986","0.58656","0.74918","0.79848","0.5802896307183054","0.7823913097381592"
"no_adapt","frost","5","0.17678708131253718","2.1979822530781394","0.57964","0.73554","0.78648","0.5839599822612391","0.5971444845199585","0.13705264289796354","2.5416825858396246","0.52566","0.67556","0.7275","0.5345757490113869","0.6493293642997742","0.3310933562004566","3.4967033883452685","0.4632","0.61962","0.6774","0.4643665711595952","0.8368937373161316"
"no_adapt","gaussian_noise","5","0.09434224654361606","3.268437989268183","0.38538","0.53896","0.60204","0.3917019706566309","0.7636960744857788","0.061927275695353744","3.468698519868894","0.35682","0.50116","0.56084","0.3660098041070258","0.78183913230896","0.13343684247583149","5.462149453896644","0.16422","0.26798","0.32154","0.1621437100376616","0.975666344165802"
"no_adapt","glass_blur","5","0.08845862104460597","4.204030413541254","0.25438","0.38784","0.44794","0.2504678194196447","0.8854634165763855","0.14437416575163603","4.6771567695979614","0.21488","0.33072","0.38754","0.21301998780530298","0.927302360534668","0.11290797992318868","5.262566573651264","0.15888","0.26186","0.31634","0.14530550463730904","0.9676671624183655"
"no_adapt","impulse_noise","5","0.12273656951770187","3.232066607658575","0.39688","0.55354","0.61684","0.40353387433385546","0.7653799057006836","0.09177044485792518","3.4156726743059043","0.36884","0.51738","0.57852","0.3793515500967507","0.7820325493812561","0.13239135354161263","5.487811676309832","0.16094","0.26598","0.31904","0.1606968372380763","0.9771426320075989"
"no_adapt","jpeg_compression","5","0.033707978761792184","1.9940488321132006","0.57128","0.74492","0.80008","0.5716953190219364","0.5632073283195496","0.04082751140892506","2.2215313803624817","0.53282","0.70742","0.7662","0.5339421800985038","0.6036247611045837","0.29343080437362196","3.7500558358520117","0.40998","0.57274","0.63334","0.40336480261733926","0.8616352081298828"
