proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_pearson,gap_spearman,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
atc,linear,2048,150,0.8666666666666667,130,150,0.8569720162640517,0.8761061946902655,0.8378378378378378,113,37,-0.0008673706930185965,0.7715542721288045,0.7447422927573653,0.7078318181070657,0.6064072608431601,0.7787215553990785,0.6514334480184404,0.7768284025121222,0.8813786941559922,0.8586915456109264
atc,platt,2048,150,0.8666666666666667,130,150,0.8569720162640517,0.8761061946902655,0.8378378378378378,113,37,-0.0013901204542178032,0.7385439885420723,0.7444906338480819,0.7189116777263675,0.6080537297715124,0.7797780003125969,0.6514334480184404,0.7870809397564813,0.887175822346665,0.8586915456109264
ac_mc,linear,2048,150,0.8666666666666667,130,150,0.8478832815116002,0.8849557522123894,0.8108108108108109,113,37,-0.01917614933076546,1.3455714328150241,0.802011633239335,0.7740829176302959,0.6291156061072283,0.7931680818762366,0.7931352357001528,0.751717834809858,0.8670166289119592,0.857400651583433
ac_mc,platt,2048,150,0.8666666666666667,130,150,0.8478832815116002,0.8849557522123894,0.8108108108108109,113,37,-0.018272396808535065,1.2022208957968183,0.7947560655935201,0.770454234498313,0.6323849425482496,0.7952263467392473,0.7931352357001528,0.7793623647032958,0.8828150229256952,0.857400651583433
atc,linear,1024,300,0.8566666666666667,257,300,0.845790480746233,0.8672566371681416,0.8243243243243243,226,74,-0.0004966586839667815,0.7575389277628231,0.7333817436456544,0.7003442187335848,0.6022334000810043,0.7760369837069651,0.6402960283998026,0.7727168794005627,0.8790431612842242,0.846272074142891
atc,platt,1024,300,0.8566666666666667,257,300,0.845790480746233,0.8672566371681416,0.8243243243243243,226,74,-0.0010376958614061551,0.7250694253516302,0.7329774967130118,0.7066343277958713,0.6038812754706712,0.7770979831853067,0.6402960283998026,0.7828444519798654,0.8847849749966742,0.846272074142891
nuclear_norm,beta,2048,150,0.8533333333333334,128,150,0.8299449892370246,0.8761061946902655,0.7837837837837838,113,37,-0.034161503443010284,1.7859319256786292,0.8640207876017812,0.7802575460072566,0.7377418903916183,0.8589190243507349,0.8547424603152307,0.8828947579512333,0.9396247963688662,0.949788786663967
nuclear_norm,linear,2048,150,0.8466666666666667,127,150,0.8255202104759627,0.8672566371681416,0.7837837837837838,113,37,-0.0275116964316732,1.506486299670003,0.8593906807822662,0.7664913071581906,0.7628095538077029,0.8733896918373281,0.8547424603152307,0.8986873430588507,0.9479912146527787,0.949788786663967
nuclear_norm,platt,2048,150,0.8466666666666667,127,150,0.8255202104759627,0.8672566371681416,0.7837837837837838,113,37,-0.02303094985619914,1.21153114134311,0.842341160013927,0.7627541724480349,0.78077017453291,0.8836120045205984,0.8547424603152307,0.9219531442471434,0.960183911678978,0.949788786663967
nuclear_norm,linear,1024,300,0.8433333333333334,253,300,0.8233078210954317,0.8628318584070797,0.7837837837837838,226,74,-0.021573116710526995,1.2817483423926903,0.8503931396534359,0.7599382462927167,0.7463204312839782,0.8638983917591109,0.8360344509493104,0.8890589659549764,0.9428992342530438,0.9352289954755771
nuclear_norm,platt,1024,300,0.8433333333333334,253,300,0.8233078210954317,0.8628318584070797,0.7837837837837838,226,74,-0.016464006345736266,0.9645072170617051,0.8306497652620982,0.7448321173568823,0.769334103683254,0.8771169270304011,0.8360344509493104,0.9154504853980461,0.9567917669995107,0.9352289954755771
nuclear_norm,beta,1024,300,0.8433333333333334,253,300,0.8233078210954317,0.8628318584070797,0.7837837837837838,226,74,-0.02614761767955911,1.4829821146198023,0.8478829485599111,0.7652723050021923,0.7386839257065873,0.8594672336433701,0.8360344509493104,0.8927949270384418,0.9448782604327617,0.9352289954755771
nuclear_norm,linear,512,600,0.8431703204047217,500,593,0.8214868511893554,0.8628318584070797,0.7801418439716312,452,141,-0.020167925383146667,1.36318946385784,0.8288073950906809,0.7390909269968331,0.7202208280065748,0.8486582515987073,0.8151190959134584,0.8704498297665428,0.9329790082132303,0.920736517005216
nuclear_norm,platt,512,600,0.8431703204047217,500,593,0.8214868511893554,0.8628318584070797,0.7801418439716312,452,141,-0.016113066210168184,1.0805348282310558,0.8100113723811393,0.7276850105806975,0.7405653080056659,0.8605610425795871,0.8151190959134584,0.896685266870591,0.9469346687446769,0.920736517005216
nuclear_norm,beta,512,600,0.8414839797639123,499,593,0.8203806564990899,0.8606194690265486,0.7801418439716312,452,141,-0.025555695309796463,1.6098603364476611,0.8328815888700962,0.7473707611755228,0.6965690281525075,0.8346071100538909,0.8151190959134584,0.86168563268361,0.928270236883425,0.920736517005216
atc,linear,512,600,0.8397976391231029,498,593,0.8143946526077952,0.8628318584070797,0.7659574468085106,452,141,-0.00011860935919891508,0.735158506916348,0.7175233662450945,0.6760686115986106,0.5988078051462064,0.7738267281156721,0.6362617413253334,0.7671545916410141,0.8758736162489507,0.8394466739143032
atc,platt,512,600,0.8397976391231029,498,593,0.8143946526077952,0.8628318584070797,0.7659574468085106,452,141,-0.0006877490664347221,0.7035432812804039,0.7171172834339,0.6816064305689776,0.6003794321475887,0.7748415529303967,0.6362617413253334,0.7767039506958552,0.8813080906787678,0.8394466739143032
ac_mc,linear,1024,300,0.8366666666666667,251,300,0.7961612054532409,0.8761061946902655,0.7162162162162162,226,74,-0.01847462659494375,1.324439298570781,0.793173601414443,0.7578985833131496,0.6265751266871916,0.7915649857637663,0.7717867600068754,0.7491587064119574,0.865539546417122,0.8494288593178622
ac_mc,platt,1024,300,0.8366666666666667,251,300,0.7961612054532409,0.8761061946902655,0.7162162162162162,226,74,-0.017642027583241737,1.183293367286397,0.7858682485642603,0.7545437399551692,0.6298036178491905,0.7936016745503947,0.7717867600068754,0.7765149859898907,0.8812008772067188,0.8494288593178622
ac_mc,beta,2048,150,0.84,126,150,0.793829227457546,0.8849557522123894,0.7027027027027027,113,37,-0.014952427059553136,1.5718938656165549,0.7958831703307545,0.7431973304824239,0.5919166393139049,0.769361189113348,0.7931352357001528,0.6910322136826554,0.8312834737216033,0.857400651583433
ac_mc,linear,512,600,0.8279932546374368,491,593,0.7920118621728488,0.8606194690265486,0.723404255319149,452,141,-0.01693583937008356,1.2821390383804847,0.7772536327311446,0.722069185858853,0.6271294144921128,0.7919150298435513,0.7575558869105513,0.7449187804172255,0.8630867745581701,0.8431384964890154
ac_mc,platt,512,600,0.8279932546374368,491,593,0.7920118621728488,0.8606194690265486,0.723404255319149,452,141,-0.016257758130597693,1.14541181608704,0.7698212177606121,0.7208672632440095,0.6298229001364333,0.7936138230502499,0.7575558869105513,0.7712237454610417,0.8781934556013508,0.8431384964890154
cot,isotonic,512,600,0.6981450252951096,414,593,0.7678324860352728,0.6349557522123894,0.900709219858156,452,141,-0.017157218624125857,0.22527719568135823,0.6102704675773678,0.6108107692082738,0.12855841040112223,0.3585504293695968,0.5822007208921743,0.4303499967611838,0.656010668176352,0.806088896302115
ac_mc,beta,1024,300,0.8233333333333334,247,300,0.764589811049988,0.8805309734513275,0.6486486486486487,226,74,-0.014090517151177501,1.5466278583283242,0.7871858400874132,0.7306813720720783,0.5896106451665358,0.7678610845501521,0.7717867600068754,0.6886326177485506,0.8298389107221658,0.8494288593178622
ac_mc,beta,512,600,0.8229342327150084,488,593,0.7594144228958766,0.8805309734513275,0.6382978723404256,452,141,-0.012406084219866323,1.498352745185308,0.772845014419185,0.7091775691898147,0.5906183691309405,0.7685169933911289,0.7575558869105513,0.6859225788068053,0.828204430564583,0.8431384964890154
nuclear_norm,beta,128,2355,0.7843570481661511,1775,2263,0.7495577595802194,0.824773413897281,0.6743421052631579,1655,608,-0.018598939796086428,1.4697299216374462,0.759937023091034,0.6656610550331138,0.5990620087571913,0.7739909616766796,0.7520080009250921,0.7825019088576967,0.8845913795972108,0.8681445162626702
nuclear_norm,linear,128,2355,0.7817057003977022,1769,2263,0.7451438026713308,0.8241691842900302,0.6661184210526315,1655,608,-0.013747500689437281,1.244247647359658,0.7528978733626605,0.6573807060051705,0.6435952105570637,0.8022438597814655,0.7520080009250921,0.8112244779848011,0.900680008651686,0.8681445162626702
nuclear_norm,platt,128,2355,0.7817057003977022,1769,2263,0.7451438026713308,0.8241691842900302,0.6661184210526315,1655,608,-0.011854902629503578,1.0515704151072953,0.7406470128430664,0.654286583796865,0.658068712892165,0.8112143446045348,0.7520080009250921,0.8397527133228954,0.9163802231186001,0.8681445162626702
ac_mc,linear,128,2355,0.7794962439239947,1764,2263,0.7399914533312132,0.8253776435045317,0.6546052631578947,1655,608,-0.011284345536444139,1.0790410096814786,0.7113308920025703,0.623441358449959,0.6019587197939403,0.7758599872360608,0.710550143379517,0.7223651108940573,0.8499206497632925,0.8270633730107169
ac_mc,platt,128,2355,0.7794962439239947,1764,2263,0.7399914533312132,0.8253776435045317,0.6546052631578947,1655,608,-0.011236595140968345,0.9645997125551325,0.7046122866313177,0.625022766824581,0.6046113890321233,0.7775676105858084,0.710550143379517,0.7476148381968399,0.8646472333829791,0.8270633730107169
cot,identity,1024,300,0.8266666666666667,248,300,0.7395359961731642,0.911504424778761,0.5675675675675675,226,74,0.008678999228469767,0.569479853528144,0.8284769189086434,0.6440608099810132,0.735684743496235,0.8577206675230783,0.812595530764048,0.8730742485702186,0.9343844222643155,0.9227443654192058
nuclear_norm,identity,1024,300,0.82,246,300,0.7260224826596509,0.911504424778761,0.5405405405405406,226,74,0.015547396865248916,0.878472123208217,0.8256426583223733,0.6684676509846031,0.746320431283978,0.8638983917591108,0.8360344509493104,0.8890589659549764,0.9428992342530438,0.9352289954755771
nuclear_norm,identity,2048,150,0.82,123,150,0.7260224826596509,0.911504424778761,0.5405405405405406,113,37,0.01619083272333282,1.0312454559125328,0.8343194341665838,0.6720442057273586,0.7628095538077029,0.8733896918373281,0.8547424603152307,0.8986873430588506,0.9479912146527786,0.949788786663967
cot,identity,2048,150,0.82,123,150,0.7260224826596509,0.911504424778761,0.5405405405405406,113,37,0.011456036880490073,0.7393167052826499,0.8386170568302785,0.6542243669072387,0.7819778648205781,0.8842951231464403,0.8636034324808071,0.9114546731678355,0.9547013528679194,0.9600063294775499
ac_mc,beta,128,2355,0.7821475916924436,1770,2263,0.7215142510733026,0.8525679758308157,0.5904605263157895,1655,608,-0.005534514285411193,1.2562191554799436,0.7069444685028935,0.6192102818227504,0.5674426083114934,0.7532878655012926,0.710550143379517,0.6654618377377368,0.8157584432524967,0.8270633730107169
nuclear_norm,identity,512,600,0.8195615514333895,486,593,0.7206034645076257,0.9092920353982301,0.5319148936170213,452,141,0.020424694420976445,0.9366488103906281,0.8045704352655332,0.6560803423166641,0.7202208280065748,0.8486582515987073,0.8151190959134584,0.8704498297665431,0.9329790082132304,0.920736517005216
atc,linear,128,2355,0.7675651789659743,1737,2263,0.7157064914930831,0.8277945619335347,0.6036184210526315,1655,608,0.003730210779022693,0.6128150542062638,0.6385035666763033,0.5659577631706263,0.568122737792433,0.7537391709287988,0.6142810343793569,0.7296853839160398,0.8542162395529833,0.8098932978472287
atc,platt,128,2355,0.7675651789659743,1737,2263,0.7157064914930831,0.8277945619335347,0.6036184210526315,1655,608,0.002971307068403753,0.5865167455499324,0.6375913375670283,0.5686548906967223,0.5695449642088999,0.7546820285450687,0.6142810343793569,0.7386094533239818,0.8594239078149861,0.8098932978472287
ac_mc,identity,1024,300,0.8133333333333334,244,300,0.7125089691461373,0.911504424778761,0.5135135135135135,226,74,0.029285111758880322,0.9606075914620686,0.7689914597681337,0.6371573352809403,0.6265751266871916,0.7915649857637663,0.7717867600068754,0.7491587064119576,0.8655395464171222,0.8494288593178622
ac_mc,identity,2048,150,0.8133333333333334,122,150,0.7125089691461373,0.911504424778761,0.5135135135135135,113,37,0.02878144094233672,0.9757983001272139,0.7773294100805206,0.6418271069957656,0.6291156061072285,0.7931680818762367,0.7931352357001528,0.751717834809858,0.8670166289119592,0.857400651583433
ac_mc,identity,512,600,0.8161888701517707,484,593,0.7110713613255507,0.911504424778761,0.5106382978723404,452,141,0.030448047949695238,0.9296948783737509,0.7529042270511755,0.6216822143894594,0.6271294144921128,0.7919150298435513,0.7575558869105513,0.7449187804172251,0.8630867745581698,0.8431384964890154
