proxy_kind,calib_method,proxy_batch_size,n,sel_acc,sel_correct,sel_total,bal_sel_acc,sel_acc_large_better,sel_acc_small_better,n_large_better,n_small_better,gap_bias,gap_slope,gap_corr,l_r2,l_pearson_r,l_spearman_rho,s_r2,s_pearson_r,s_spearman_rho
ac_mc,identity,2048,150,0.9733333333333334,146,150,0.9857142857142858,0.9714285714285714,1.0,140,10,0.150558953765732,0.48237800613595405,0.44192088170506555,0.4347742815097908,0.6593741589642339,0.5356113909279775,0.870216620027008,0.9328540186047375,0.8787146624601836
cot,identity,2048,150,0.94,141,150,0.9678571428571429,0.9357142857142857,1.0,140,10,0.09069847517702913,0.428775546025546,0.5606407874012362,0.5402989058196107,0.7350502743483678,0.6268184384543867,0.9845831274218898,0.9922616224675274,0.9789445426232907
nuclear_norm,identity,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,0.128766674047889,0.5904557231833782,0.5477696994684425,0.5216237615565116,0.722235253609592,0.6090609680211831,0.9823610332523974,0.991141278149789,0.9772075518307662
nuclear_norm,platt,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,-0.03199050032334284,0.5794229713116962,0.6124365078034029,0.5637974314231765,0.7508644560925604,0.6090609680211831,0.9857295667278111,0.9928391444377136,0.9772075518307662
nuclear_norm,beta,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,0.007260672766591816,0.6516070201754389,0.689013087519481,0.5934095300190007,0.7703307925943248,0.6090609680211831,0.9659111701654718,0.982807799198537,0.9772075518307662
prototype,linear,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,-0.009074370864536722,0.7098116924061727,0.6655636707465072,0.6965249545295131,0.8345807058215,0.6580326863914867,0.81645439106361,0.9035786579283566,0.8134735016388167
prototype,platt,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,0.0025191572379536687,0.5491256693495692,0.6341615347752169,0.6923174051179344,0.8320561309899317,0.6580326863914867,0.848916498756221,0.9213666472996627,0.8134735016388167
prototype,beta,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,0.005895585876258098,0.5941977753594764,0.624980016620604,0.6945195706115701,0.8333784078145834,0.6580326863914867,0.8216059452289578,0.906424814989615,0.8134735016388167
ac_mc,beta,2048,150,0.9333333333333333,140,150,0.9642857142857143,0.9285714285714286,1.0,140,10,-0.014692977710370134,0.5826728148380206,0.540027556777105,0.46762994223551746,0.6838347331303942,0.5356113909279775,0.8133574968759311,0.9018633471185815,0.8787146624601836
nuclear_norm,linear,2048,150,0.9266666666666666,139,150,0.9607142857142856,0.9214285714285714,1.0,140,10,-0.08087404764198995,0.8864321073972775,0.6498331596875322,0.5216237615565116,0.722235253609592,0.6090609680211831,0.982361033252397,0.9911412781497888,0.9772075518307662
ac_mc,platt,2048,150,0.9266666666666666,139,150,0.9607142857142856,0.9214285714285714,1.0,140,10,-0.017788375706182878,0.476740833946232,0.49920126585800273,0.4518925929512196,0.6722295686379911,0.5356113909279775,0.8945165812922977,0.9457888671856408,0.8787146624601836
ac_mc,linear,2048,150,0.92,138,150,0.9571428571428571,0.9142857142857143,1.0,140,10,-0.05145206002619554,0.6708283502594109,0.5398024888804498,0.43477428150979064,0.6593741589642338,0.5356113909279775,0.8702166200270082,0.9328540186047376,0.8787146624601836
atc,linear,2048,150,0.8666666666666667,130,150,0.9285714285714286,0.8571428571428571,1.0,140,10,0.04315559379951552,0.15674556324497063,0.23772801498421173,0.30639282664210327,0.553527620487093,0.41397739541721673,0.7663176445433333,0.8753957074051331,0.8042652111521468
atc,platt,2048,150,0.8666666666666667,130,150,0.9285714285714286,0.8571428571428571,1.0,140,10,0.046039538746809196,0.1440355701309597,0.2345397204552827,0.31955111552160875,0.5652885241375494,0.41397739541721673,0.7844614424780754,0.8856982795953007,0.8042652111521468
atc,beta,2048,150,0.8666666666666667,130,150,0.9285714285714286,0.8571428571428571,1.0,140,10,-0.007693548081720282,0.4516664726254994,0.42376638015635276,0.2857605952242838,0.5345658006497271,0.41397739541721673,0.7251573282757686,0.851561699629433,0.8042652111521468
ac_mc,identity,1024,300,0.9533333333333334,286,300,0.9149270130277821,0.9602888086642599,0.8695652173913043,277,23,0.15094092404018505,0.4786803128749487,0.43968730099469816,0.43273192226653984,0.6578236255004375,0.536660067302234,0.8664659493928698,0.9308415275399298,0.8817607283764107
nuclear_norm,identity,1024,300,0.94,282,300,0.9077067964212839,0.9458483754512635,0.8695652173913043,277,23,0.11502835601289763,0.4981336316607899,0.5328883073842238,0.5124014757411158,0.715822237529064,0.603780465706928,0.9733212197827611,0.9865704332599681,0.9693386662437534
cot,identity,1024,300,0.94,282,300,0.9077067964212839,0.9458483754512635,0.8695652173913043,277,23,0.07035634484752369,0.3366015046325277,0.5540901894209436,0.5091267347093271,0.713531172906501,0.6020935277091264,0.9592368454264943,0.9794063739972771,0.9652102793430555
nuclear_norm,beta,1024,300,0.9233333333333333,277,300,0.8986815256631612,0.927797833935018,0.8695652173913043,277,23,0.007938562674035813,0.5886491000529619,0.7389705399699671,0.5791771339647783,0.761036880817729,0.603780465706928,0.9636201466079584,0.9816415570909569,0.9693386662437534
ac_mc,identity,512,600,0.9511784511784511,565,594,0.8974358974358975,0.9615384615384616,0.8333333333333334,546,48,0.1507053885175668,0.48011873079380885,0.4462745284795321,0.42493501247963605,0.6518703954618863,0.5303069444010055,0.8550174798638353,0.9246715524248788,0.8801832967431535
ac_mc,platt,1024,300,0.92,276,300,0.8968764715115367,0.924187725631769,0.8695652173913043,277,23,-0.01749694923815167,0.4735372043563731,0.4965334603465498,0.4497904490451246,0.6706641850025425,0.536660067302234,0.89064551255995,0.9437401721660205,0.8817607283764107
ac_mc,beta,1024,300,0.92,276,300,0.8968764715115367,0.924187725631769,0.8695652173913043,277,23,-0.014211354012209501,0.5781435704094396,0.5369078679621356,0.4654365762164683,0.682229122961244,0.536660067302234,0.8097740483787714,0.8998744625661801,0.8817607283764107
